Address,Lat,Long,Type,Bed,Bath,Parking,Bond,Price
"1206/151 Berkeley Street, Melbourne VIC 3000",-37.800833127606204,144.9586491659481,Apartment/Unit/Flat,2,1,0,3433.0,790.0
"1709/618 Lonsdale Street, Melbourne VIC 3000",-37.80968771828676,144.97088095324335,Apartment/Unit/Flat,1,1,0,,550.0
"501/68 La Trobe Street, Melbourne VIC 3000",-37.809247915252186,144.96475958978283,Apartment/Unit/Flat,2,1,1,3085.0,710.0
"1532/1 William Street, Melbourne VIC 3000",-37.817101461883816,144.95894371647955,Studio,0,1,0,1955.0,450.0
"4310/500 Elizabeth Street, Melbourne VIC 3000",-37.8071946,144.9601583,Apartment/Unit/Flat,2,2,0,3259.0,750.0
"4712/500 Elizabeth Street, Melbourne VIC 3000",-37.8071946,144.9601583,Apartment/Unit/Flat,2,1,0,2824.0,650.0
"4108/639 Little Lonsdale Street, Melbourne VIC 3000",-37.80914117476021,144.96917914506255,Apartment/Unit/Flat,2,2,0,3824.0,880.0
"74/131 Lonsdale Street, Melbourne VIC 3000",-37.80968771828676,144.97088095324335,Studio,0,1,0,1955.0,450.0
"2006/8 Sutherland Street, Melbourne VIC 3000",-37.81106065148606,144.9607858616969,Apartment/Unit/Flat,3,2,0,6120.0,1020.0
"703/593 Elizabeth Street, Melbourne VIC 3000",-37.8044707,144.9582695,Apartment/Unit/Flat,1,1,0,1651.0,380.0
"1903/380 Little Lonsdale Street, Melbourne VIC 3000",-37.8122724,144.9581821,Apartment/Unit/Flat,1,1,0,2651.0,610.0
"235/538 Little Lonsdale Street, Melbourne VIC 3000",-37.813579849999996,144.95324183501094,Apartment/Unit/Flat,3,2,1,4312.0,995.0
"2016/39 Lonsdale Street, Melbourne VIC 3000",-37.809903,144.9711068,Apartment/Unit/Flat,2,1,0,2173.0,500.0
"407B/399 Bourke Street, Melbourne VIC 3000",-37.8147476,144.9620601,Apartment/Unit/Flat,1,1,0,2346.0,540.0
"4708/81 A'beckett Street, Melbourne VIC 3000",-37.80934025,144.96130938294465,Apartment/Unit/Flat,2,2,1,3889.0,895.0
"2911/120 Abeckett Street, Melbourne VIC 3000",-38.116467163929414,145.14913753991942,Apartment/Unit/Flat,2,2,0,3737.0,860.0
"5816/228 LaTrobe St, Melbourne VIC 3000",-37.76091175603228,144.97162288278003,Apartment/Unit/Flat,2,2,1,,950
"506/120 A'beckett Street, Melbourne VIC 3000",-37.809513321321596,144.95991137429817,Apartment/Unit/Flat,1,1,0,2520.0,580
"2708/27 Therry Street, Melbourne VIC 3000",-37.807395832826614,144.95893747307127,Apartment/Unit/Flat,3,2,0,6600.0,1100
"10.5/201 Spring Street, Melbourne VIC 3000",-37.81013755,144.97208477476357,Apartment/Unit/Flat,2,2,1,4335.0,1
"909/280 SPENCER STREET, Melbourne VIC 3000",-37.8138089,144.95209688770183,Apartment/Unit/Flat,1,1,0,1912.0,440
